YY;MM;OD;PAX
2008;6;SANSFO;129614
2008;6;SEASFO;122025
2008;7;ANCSEA;155986
2008;7;ATLBOS;136727
2008;7;ATLBWI;131614
2008;7;ATLCLT;129541
2008;7;ATLDCA;153351
2008;7;ATLDEN;149631
2008;7;ATLDFW;199300
2008;7;ATLDTW;103697
2008;7;ATLFLL;205447
2008;7;ATLJAX;133758
2008;7;ATLLAS;137719
2008;7;ATLLAX;187465
2008;7;ATLLGA;216050
2008;7;ATLMCO;230788
2008;7;ATLMIA;128904
2008;7;ATLMSP;114136
2008;7;ATLMSY;87236
2008;7;ATLORD;130131
2008;7;ATLPBI;87355
2008;7;ATLPHL;162925
2008;7;ATLPHX;102845
2008;7;ATLRDU;112572
2008;7;ATLRSW;80968
2008;7;ATLSFO;128393
2008;7;ATLTPA;175568
2008;7;AUSDFW;103524
2008;7;BOSCLT;82149
2008;7;BOSDCA;79513
2008;7;BOSORD;154878
2008;7;BOSPHL;65897
2008;7;BOSSFO;78668
2008;7;CLTDFW;77477
2008;7;CLTLGA;88140
2008;7;CLTMCO;80008
2008;7;CLTORD;97411
2008;7;DALHOU;98791
2008;7;DCAORD;120108
2008;7;DENDFW;173076
2008;7;DENIAH;111424
2008;7;DENLAS;144509
2008;7;DENLAX;187185
2008;7;DENMSP;115934
2008;7;DENORD;160777
2008;7;DENPHX;140678
2008;7;DENSAN;106013
2008;7;DENSEA;145268
2008;7;DENSFO;122776
2008;7;DENSLC;113836
2008;7;DFWLAS;118121
2008;7;DFWLAX;156332
2008;7;DFWLGA;108558
2008;7;DFWMIA;82844
2008;7;DFWORD;171116
2008;7;DFWPHX;106594
2008;7;DFWSAT;104024
2008;7;DFWSFO;88118
2008;7;DTWMCO;105198
2008;7;EWRLAX;98399
2008;7;EWRMCO;122205
2008;7;EWRORD;131317
2008;7;EWRSFO;79778
2008;7;FLLLGA;122239
2008;7;HNLITO;103432
2008;7;HNLKOA;120079
2008;7;HNLLAX;196065
2008;7;HNLLIH;152910
2008;7;HNLOGG;186332
2008;7;IADLAX;127295
2008;7;IADSFO;95851
2008;7;IAHLAX;116054
2008;7;IAHORD;95078
2008;7;JFKLAX;234556
2008;7;JFKMCO;127689
2008;7;JFKSFO;201105
2008;7;JFKSJU;117390
2008;7;LASLAX;169801
2008;7;LASORD;120819
2008;7;LASPHX;135558
2008;7;LASSEA;105068
2008;7;LASSFO;151138
2008;7;LAXMIA;73514
2008;7;LAXORD;187937
2008;7;LAXPHX;127173
2008;7;LAXSEA;170372
2008;7;LAXSFO;248566
2008;7;LAXSJC;78343
2008;7;LGAMIA;91026
2008;7;LGAORD;200044
2008;7;MCOPHL;146955
2008;7;MSPORD;170153
2008;7;MSPPHX;80637
2008;7;ORDPHL;132688
2008;7;ORDPHX;110280
2008;7;ORDSEA;121645
2008;7;ORDSFO;161787
2008;7;PHXSAN;127940
2008;7;PHXSEA;101276
2008;7;PHXSLC;102001
2008;7;SANSFO;129999
2008;7;SEASFO;140141
2008;8;ANCSEA;148823
2008;8;ATLBOS;139617
2008;8;ATLBWI;131194
2008;8;ATLCLT;125633
2008;8;ATLDCA;149320
2008;8;ATLDEN;133468
2008;8;ATLDFW;181200
2008;8;ATLDTW;103845
2008;8;ATLFLL;185767
2008;8;ATLJAX;119658
2008;8;ATLLAS;136659
2008;8;ATLLAX;182564
2008;8;ATLLGA;214305
2008;8;ATLMCO;224292
2008;8;ATLMIA;122472
2008;8;ATLMSP;116464
2008;8;ATLMSY;79394
2008;8;ATLORD;122022
2008;8;ATLPBI;82822
2008;8;ATLPHL;158899
2008;8;ATLPHX;94976
2008;8;ATLRDU;108401
2008;8;ATLRSW;76202
2008;8;ATLSFO;122577
2008;8;ATLTPA;166535
2008;8;AUSDFW;96924
2008;8;BOSCLT;82077
2008;8;BOSDCA;75189
2008;8;BOSORD;155981
2008;8;BOSPHL;70319
2008;8;BOSSFO;79972
2008;8;CLTDFW;74415
2008;8;CLTLGA;93208
2008;8;CLTMCO;77008
2008;8;CLTORD;94335
2008;8;DALHOU;91777
2008;8;DCAORD;112745
2008;8;DENDFW;161155
2008;8;DENIAH;107078
2008;8;DENLAS;142985
2008;8;DENLAX;185305
2008;8;DENMSP;111052
2008;8;DENORD;159606
2008;8;DENPHX;132702
2008;8;DENSAN;104303
2008;8;DENSEA;146337
2008;8;DENSFO;122171
2008;8;DENSLC;113165
2008;8;DFWLAS;119833
2008;8;DFWLAX;152552
2008;8;DFWLGA;107864
2008;8;DFWMIA;77008
2008;8;DFWORD;164221
2008;8;DFWPHX;100788
2008;8;DFWSAT;91489
2008;8;DFWSFO;86438
2008;8;DTWMCO;92303
2008;8;EWRLAX;100767
2008;8;EWRMCO;122391
2008;8;EWRORD;131771
2008;8;EWRSFO;84279
2008;8;FLLLGA;119742
2008;8;HNLITO;97436
2008;8;HNLKOA;118773
2008;8;HNLLAX;186595
2008;8;HNLLIH;147782
2008;8;HNLOGG;187494
2008;8;IADLAX;128970
2008;8;IADSFO;90268
2008;8;IAHLAX;118197
2008;8;IAHORD;92593
2008;8;JFKLAX;231348
2008;8;JFKMCO;126573
2008;8;JFKSFO;196047
2008;8;JFKSJU;111896
2008;8;LASLAX;175827
2008;8;LASORD;120812
2008;8;LASPHX;130212
2008;8;LASSEA;105975
2008;8;LASSFO;165940
2008;8;LAXMIA;73597
2008;8;LAXORD;195267
2008;8;LAXPHX;128274
2008;8;LAXSEA;173756
2008;8;LAXSFO;252467
2008;8;LAXSJC;77607
2008;8;LGAMIA;98527
2008;8;LGAORD;206682
2008;8;MCOPHL;146459
2008;8;MSPORD;154539
2008;8;MSPPHX;79099
2008;8;ORDPHL;138491
2008;8;ORDPHX;108907
2008;8;ORDSEA;125627
2008;8;ORDSFO;161679
2008;8;PHXSAN;121926
2008;8;PHXSEA;99223
2008;8;PHXSLC;97633
2008;8;SANSFO;134871
2008;8;SEASFO;142123
2008;9;ANCSEA;127666
2008;9;ATLBOS;125192
2008;9;ATLBWI;114638
2008;9;ATLCLT;111601
2008;9;ATLDCA;133820
2008;9;ATLDEN;119990
2008;9;ATLDFW;168484
2008;9;ATLDTW;94101
2008;9;ATLFLL;161356
2008;9;ATLJAX;108632
2008;9;ATLLAS;137366
2008;9;ATLLAX;148681
2008;9;ATLLGA;171123
2008;9;ATLMCO;207698
2008;9;ATLMIA;103434
2008;9;ATLMSP;101198
2008;9;ATLMSY;59544
2008;9;ATLORD;113301
2008;9;ATLPBI;80845
2008;9;ATLPHL;132932
2008;9;ATLPHX;91904
2008;9;ATLRDU;97151
2008;9;ATLRSW;73879
2008;9;ATLSFO;95019
2008;9;ATLTPA;152779
2008;9;AUSDFW;94357
2008;9;BOSCLT;72416
2008;9;BOSDCA;74411
2008;9;BOSORD;129631
2008;9;BOSPHL;59510
2008;9;BOSSFO;62267
2008;9;CLTDFW;72640
2008;9;CLTLGA;68982
2008;9;CLTMCO;70216
2008;9;CLTORD;86350
2008;9;DALHOU;63298
2008;9;DCAORD;111937
2008;9;DENDFW;133863
2008;9;DENIAH;74426
2008;9;DENLAS;134206
2008;9;DENLAX;142113
2008;9;DENMSP;99916
2008;9;DENORD;137113
2008;9;DENPHX;132882
2008;9;DENSAN;84581
2008;9;DENSEA;126244
2008;9;DENSFO;116933
2008;9;DENSLC;102842
2008;9;DFWLAS;103909
2008;9;DFWLAX;122764
2008;9;DFWLGA;91054
2008;9;DFWMIA;67901
2008;9;DFWORD;142081
2008;9;DFWPHX;93049
2008;9;DFWSAT;84111
2008;9;DFWSFO;73064
2008;9;DTWMCO;67383
2008;9;EWRLAX;68472
2008;9;EWRMCO;76287
2008;9;EWRORD;120690
2008;9;EWRSFO;71230
2008;9;FLLLGA;88277
2008;9;HNLITO;80152
2008;9;HNLKOA;92655
2008;9;HNLLAX;137906
2008;9;HNLLIH;118419
2008;9;HNLOGG;147048
2008;9;IADLAX;97620
2008;9;IADSFO;84058
2008;9;IAHLAX;73305
2008;9;IAHORD;67086
2008;9;JFKLAX;199854
2008;9;JFKMCO;83936
2008;9;JFKSFO;163376
2008;9;JFKSJU;68513
2008;9;LASLAX;148997
2008;9;LASORD;118491
2008;9;LASPHX;123592
2008;9;LASSEA;91780
2008;9;LASSFO;146830
2008;9;LAXMIA;60051
2008;9;LAXORD;175956
2008;9;LAXPHX;101794
2008;9;LAXSEA;134795
2008;9;LAXSFO;218345
2008;9;LAXSJC;65935
2008;9;LGAMIA;77032
2008;9;LGAORD;181538
2008;9;MCOPHL;98195
2008;9;MSPORD;128887
2008;9;MSPPHX;76251
2008;9;ORDPHL;125555
2008;9;ORDPHX;100738
2008;9;ORDSEA;112976
2008;9;ORDSFO;141843
2008;9;PHXSAN;99083
2008;9;PHXSEA;79098
2008;9;PHXSLC;82996
2008;9;SANSFO;114395
2008;9;SEASFO;122879
2008;10;ANCSEA;106996
2008;10;ATLBOS;138308
2008;10;ATLBWI;122889
2008;10;ATLCLT;122596
2008;10;ATLDCA;148089
2008;10;ATLDEN;117930
2008;10;ATLDFW;181939
2008;10;ATLDTW;100657
2008;10;ATLFLL;196829
2008;10;ATLJAX;128882
2008;10;ATLLAS;140518
2008;10;ATLLAX;157159
2008;10;ATLLGA;187787
2008;10;ATLMCO;252804
2008;10;ATLMIA;123828
2008;10;ATLMSP;111310
2008;10;ATLMSY;102089
2008;10;ATLORD;124516
2008;10;ATLPBI;97686
2008;10;ATLPHL;145315
2008;10;ATLPHX;101669
2008;10;ATLRDU;110758
2008;10;ATLRSW;83591
2008;10;ATLSFO;95964
2008;10;ATLTPA;175830
2008;10;AUSDFW;103528
2008;10;BOSCLT;77098
2008;10;BOSDCA;87084
2008;10;BOSORD;143541
2008;10;BOSPHL;70644
2008;10;BOSSFO;65663
2008;10;CLTDFW;80769
2008;10;CLTLGA;71361
2008;10;CLTMCO;77518
2008;10;CLTORD;95841
2008;10;DALHOU;97517
2008;10;DCAORD;124550
2008;10;DENDFW;139822
2008;10;DENIAH;92414
2008;10;DENLAS;148535
2008;10;DENLAX;151173
2008;10;DENMSP;102313
2008;10;DENORD;140504
2008;10;DENPHX;157327
2008;10;DENSAN;91780
2008;10;DENSEA;118003
2008;10;DENSFO;123481
2008;10;DENSLC;106407
2008;10;DFWLAS;111635
